rid,topic,statement,rate,agreement_text
21415754272,234,I am familiar with this topic,4.0,Somewhat agree
21415754272,234,This topic is interesting to me,4.0,Somewhat agree
21415754272,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
21415754272,283,I am familiar with this topic,2.0,Somewhat disagree
21415754272,283,This topic is interesting to me,2.0,Somewhat disagree
21415754272,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
21639419868,213,I am familiar with this topic,5.0,Strongly agree
21639419868,213,This topic is interesting to me,3.0,Neither agree nor disagree
21639419868,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
21639419868,253,I am familiar with this topic,3.0,Neither agree nor disagree
21639419868,253,This topic is interesting to me,4.0,Somewhat agree
21639419868,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
21639419868,234,I am familiar with this topic,4.0,Somewhat agree
21639419868,234,This topic is interesting to me,5.0,Strongly agree
21639419868,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
21639419868,283,I am familiar with this topic,2.0,Somewhat disagree
21639419868,283,This topic is interesting to me,4.0,Somewhat agree
21639419868,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
21930805312,213,I am familiar with this topic,2.0,Somewhat disagree
21930805312,213,This topic is interesting to me,3.0,Neither agree nor disagree
21930805312,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
21930805312,253,I am familiar with this topic,4.0,Somewhat agree
21930805312,253,This topic is interesting to me,3.0,Neither agree nor disagree
21930805312,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
21930805312,234,I am familiar with this topic,4.0,Somewhat agree
21930805312,234,This topic is interesting to me,4.0,Somewhat agree
21930805312,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
21930805312,283,I am familiar with this topic,1.0,Strongly disagree
21930805312,283,This topic is interesting to me,1.0,Strongly disagree
21930805312,283,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
22297096890,213,I am familiar with this topic,2.0,Somewhat disagree
22297096890,213,This topic is interesting to me,3.0,Neither agree nor disagree
22297096890,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
22297096890,253,I am familiar with this topic,4.0,Somewhat agree
22297096890,253,This topic is interesting to me,3.0,Neither agree nor disagree
22297096890,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
22297096890,234,I am familiar with this topic,4.0,Somewhat agree
22297096890,234,This topic is interesting to me,4.0,Somewhat agree
22297096890,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
22297096890,283,I am familiar with this topic,2.0,Somewhat disagree
22297096890,283,This topic is interesting to me,2.0,Somewhat disagree
22297096890,283,It should be easy to find relevant information for this topic,2.0,Somewhat disagree
24383332012,213,I am familiar with this topic,4.0,Somewhat agree
24383332012,213,This topic is interesting to me,4.0,Somewhat agree
24383332012,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24383332012,253,I am familiar with this topic,4.0,Somewhat agree
24383332012,253,This topic is interesting to me,3.0,Neither agree nor disagree
24383332012,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24383332012,234,I am familiar with this topic,4.0,Somewhat agree
24383332012,234,This topic is interesting to me,5.0,Strongly agree
24383332012,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24383332012,283,I am familiar with this topic,2.0,Somewhat disagree
24383332012,283,This topic is interesting to me,3.0,Neither agree nor disagree
24383332012,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24636013368,213,I am familiar with this topic,2.0,Somewhat disagree
24636013368,213,This topic is interesting to me,4.0,Somewhat agree
24636013368,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24636013368,253,I am familiar with this topic,5.0,Strongly agree
24636013368,253,This topic is interesting to me,5.0,Strongly agree
24636013368,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24636013368,234,I am familiar with this topic,4.0,Somewhat agree
24636013368,234,This topic is interesting to me,4.0,Somewhat agree
24636013368,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
24636013368,283,I am familiar with this topic,2.0,Somewhat disagree
24636013368,283,This topic is interesting to me,4.0,Somewhat agree
24636013368,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
26626279910,213,I am familiar with this topic,5.0,Strongly agree
26626279910,213,This topic is interesting to me,5.0,Strongly agree
26626279910,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
26626279910,253,I am familiar with this topic,5.0,Strongly agree
26626279910,253,This topic is interesting to me,5.0,Strongly agree
26626279910,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
26626279910,234,I am familiar with this topic,5.0,Strongly agree
26626279910,234,This topic is interesting to me,5.0,Strongly agree
26626279910,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
26626279910,283,I am familiar with this topic,5.0,Strongly agree
26626279910,283,This topic is interesting to me,5.0,Strongly agree
26626279910,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
27262946246,213,I am familiar with this topic,1.0,Strongly disagree
27262946246,213,This topic is interesting to me,2.0,Somewhat disagree
27262946246,213,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
27262946246,253,I am familiar with this topic,1.0,Strongly disagree
27262946246,253,This topic is interesting to me,3.0,Neither agree nor disagree
27262946246,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
27262946246,234,I am familiar with this topic,4.0,Somewhat agree
27262946246,234,This topic is interesting to me,5.0,Strongly agree
27262946246,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
27262946246,283,I am familiar with this topic,2.0,Somewhat disagree
27262946246,283,This topic is interesting to me,5.0,Strongly agree
27262946246,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
29515010323,213,I am familiar with this topic,4.0,Somewhat agree
29515010323,213,This topic is interesting to me,4.0,Somewhat agree
29515010323,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
29515010323,253,I am familiar with this topic,4.0,Somewhat agree
29515010323,253,This topic is interesting to me,2.0,Somewhat disagree
29515010323,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
29515010323,234,I am familiar with this topic,4.0,Somewhat agree
29515010323,234,This topic is interesting to me,5.0,Strongly agree
29515010323,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
29515010323,283,I am familiar with this topic,4.0,Somewhat agree
29515010323,283,This topic is interesting to me,4.0,Somewhat agree
29515010323,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
29592458207,213,I am familiar with this topic,5.0,Strongly agree
29592458207,213,This topic is interesting to me,3.0,Neither agree nor disagree
29592458207,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
29592458207,253,I am familiar with this topic,4.0,Somewhat agree
29592458207,253,This topic is interesting to me,2.0,Somewhat disagree
29592458207,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
29592458207,234,I am familiar with this topic,4.0,Somewhat agree
29592458207,234,This topic is interesting to me,2.0,Somewhat disagree
29592458207,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
29592458207,283,I am familiar with this topic,1.0,Strongly disagree
29592458207,283,This topic is interesting to me,4.0,Somewhat agree
29592458207,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
36614844345,213,I am familiar with this topic,3.0,Neither agree nor disagree
36614844345,213,This topic is interesting to me,3.0,Neither agree nor disagree
36614844345,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
36614844345,253,I am familiar with this topic,3.0,Neither agree nor disagree
36614844345,253,This topic is interesting to me,4.0,Somewhat agree
36614844345,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
36614844345,234,I am familiar with this topic,2.0,Somewhat disagree
36614844345,234,This topic is interesting to me,4.0,Somewhat agree
36614844345,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
36614844345,283,I am familiar with this topic,2.0,Somewhat disagree
36614844345,283,This topic is interesting to me,3.0,Neither agree nor disagree
36614844345,283,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
36924604449,213,I am familiar with this topic,1.0,Strongly disagree
36924604449,213,This topic is interesting to me,3.0,Neither agree nor disagree
36924604449,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
36924604449,253,I am familiar with this topic,1.0,Strongly disagree
36924604449,253,This topic is interesting to me,2.0,Somewhat disagree
36924604449,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
36924604449,234,I am familiar with this topic,2.0,Somewhat disagree
36924604449,234,This topic is interesting to me,3.0,Neither agree nor disagree
36924604449,234,It should be easy to find relevant information for this topic,2.0,Somewhat disagree
36924604449,283,I am familiar with this topic,1.0,Strongly disagree
36924604449,283,This topic is interesting to me,4.0,Somewhat agree
36924604449,283,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
37081445700,213,I am familiar with this topic,5.0,Strongly agree
37081445700,213,This topic is interesting to me,4.0,Somewhat agree
37081445700,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
37081445700,253,I am familiar with this topic,5.0,Strongly agree
37081445700,253,This topic is interesting to me,4.0,Somewhat agree
37081445700,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
37081445700,234,I am familiar with this topic,4.0,Somewhat agree
37081445700,234,This topic is interesting to me,5.0,Strongly agree
37081445700,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
37081445700,283,I am familiar with this topic,1.0,Strongly disagree
37081445700,283,This topic is interesting to me,3.0,Neither agree nor disagree
37081445700,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
39733485144,213,I am familiar with this topic,5.0,Strongly agree
39733485144,213,This topic is interesting to me,4.0,Somewhat agree
39733485144,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
39733485144,253,I am familiar with this topic,5.0,Strongly agree
39733485144,253,This topic is interesting to me,5.0,Strongly agree
39733485144,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
39733485144,234,I am familiar with this topic,5.0,Strongly agree
39733485144,234,This topic is interesting to me,4.0,Somewhat agree
39733485144,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
39733485144,283,I am familiar with this topic,5.0,Strongly agree
39733485144,283,This topic is interesting to me,4.0,Somewhat agree
39733485144,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
40083393601,213,I am familiar with this topic,2.0,Somewhat disagree
40083393601,213,This topic is interesting to me,2.0,Somewhat disagree
40083393601,213,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
40083393601,253,I am familiar with this topic,2.0,Somewhat disagree
40083393601,253,This topic is interesting to me,2.0,Somewhat disagree
40083393601,253,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
40083393601,234,I am familiar with this topic,2.0,Somewhat disagree
40083393601,234,This topic is interesting to me,2.0,Somewhat disagree
40083393601,234,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
40083393601,283,I am familiar with this topic,2.0,Somewhat disagree
40083393601,283,This topic is interesting to me,2.0,Somewhat disagree
40083393601,283,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
40976939934,213,I am familiar with this topic,4.0,Somewhat agree
40976939934,213,This topic is interesting to me,5.0,Strongly agree
40976939934,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
40976939934,253,I am familiar with this topic,4.0,Somewhat agree
40976939934,253,This topic is interesting to me,4.0,Somewhat agree
40976939934,253,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
40976939934,234,I am familiar with this topic,3.0,Neither agree nor disagree
40976939934,234,This topic is interesting to me,2.0,Somewhat disagree
40976939934,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
40976939934,283,I am familiar with this topic,4.0,Somewhat agree
40976939934,283,This topic is interesting to me,5.0,Strongly agree
40976939934,283,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
41064146072,213,I am familiar with this topic,1.0,Strongly disagree
41064146072,213,This topic is interesting to me,4.0,Somewhat agree
41064146072,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
41064146072,253,I am familiar with this topic,1.0,Strongly disagree
41064146072,253,This topic is interesting to me,4.0,Somewhat agree
41064146072,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
41064146072,234,I am familiar with this topic,2.0,Somewhat disagree
41064146072,234,This topic is interesting to me,5.0,Strongly agree
41064146072,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
41064146072,283,I am familiar with this topic,4.0,Somewhat agree
41064146072,283,This topic is interesting to me,4.0,Somewhat agree
41064146072,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
41428627809,213,I am familiar with this topic,5.0,Strongly agree
41428627809,213,This topic is interesting to me,5.0,Strongly agree
41428627809,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
41428627809,253,I am familiar with this topic,4.0,Somewhat agree
41428627809,253,This topic is interesting to me,5.0,Strongly agree
41428627809,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
41428627809,234,I am familiar with this topic,4.0,Somewhat agree
41428627809,234,This topic is interesting to me,5.0,Strongly agree
41428627809,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
41428627809,283,I am familiar with this topic,4.0,Somewhat agree
41428627809,283,This topic is interesting to me,4.0,Somewhat agree
41428627809,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
42224564114,213,I am familiar with this topic,4.0,Somewhat agree
42224564114,213,This topic is interesting to me,3.0,Neither agree nor disagree
42224564114,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
42224564114,253,I am familiar with this topic,3.0,Neither agree nor disagree
42224564114,253,This topic is interesting to me,2.0,Somewhat disagree
42224564114,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
42224564114,234,I am familiar with this topic,4.0,Somewhat agree
42224564114,234,This topic is interesting to me,4.0,Somewhat agree
42224564114,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
42224564114,283,I am familiar with this topic,4.0,Somewhat agree
42224564114,283,This topic is interesting to me,3.0,Neither agree nor disagree
42224564114,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
42981397919,213,I am familiar with this topic,4.0,Somewhat agree
42981397919,213,This topic is interesting to me,3.0,Neither agree nor disagree
42981397919,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
42981397919,253,I am familiar with this topic,2.0,Somewhat disagree
42981397919,253,This topic is interesting to me,4.0,Somewhat agree
42981397919,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
42981397919,234,I am familiar with this topic,2.0,Somewhat disagree
42981397919,234,This topic is interesting to me,4.0,Somewhat agree
42981397919,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
42981397919,283,I am familiar with this topic,1.0,Strongly disagree
42981397919,283,This topic is interesting to me,3.0,Neither agree nor disagree
42981397919,283,It should be easy to find relevant information for this topic,2.0,Somewhat disagree
44042154022,213,I am familiar with this topic,1.0,Strongly disagree
44042154022,213,This topic is interesting to me,2.0,Somewhat disagree
44042154022,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
44042154022,253,I am familiar with this topic,2.0,Somewhat disagree
44042154022,253,This topic is interesting to me,3.0,Neither agree nor disagree
44042154022,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
44042154022,234,I am familiar with this topic,4.0,Somewhat agree
44042154022,234,This topic is interesting to me,5.0,Strongly agree
44042154022,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
44042154022,283,I am familiar with this topic,2.0,Somewhat disagree
44042154022,283,This topic is interesting to me,4.0,Somewhat agree
44042154022,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
45437107437,213,I am familiar with this topic,4.0,Somewhat agree
45437107437,213,This topic is interesting to me,4.0,Somewhat agree
45437107437,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
45437107437,253,I am familiar with this topic,4.0,Somewhat agree
45437107437,253,This topic is interesting to me,2.0,Somewhat disagree
45437107437,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
45437107437,234,I am familiar with this topic,4.0,Somewhat agree
45437107437,234,This topic is interesting to me,4.0,Somewhat agree
45437107437,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
45437107437,283,I am familiar with this topic,2.0,Somewhat disagree
45437107437,283,This topic is interesting to me,2.0,Somewhat disagree
45437107437,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47788836492,213,I am familiar with this topic,4.0,Somewhat agree
47788836492,213,This topic is interesting to me,3.0,Neither agree nor disagree
47788836492,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47788836492,253,I am familiar with this topic,2.0,Somewhat disagree
47788836492,253,This topic is interesting to me,2.0,Somewhat disagree
47788836492,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47788836492,234,I am familiar with this topic,4.0,Somewhat agree
47788836492,234,This topic is interesting to me,4.0,Somewhat agree
47788836492,234,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
47788836492,283,I am familiar with this topic,3.0,Neither agree nor disagree
47788836492,283,This topic is interesting to me,4.0,Somewhat agree
47788836492,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47883414346,213,I am familiar with this topic,4.0,Somewhat agree
47883414346,213,This topic is interesting to me,3.0,Neither agree nor disagree
47883414346,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47883414346,253,I am familiar with this topic,4.0,Somewhat agree
47883414346,253,This topic is interesting to me,4.0,Somewhat agree
47883414346,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
47883414346,234,I am familiar with this topic,5.0,Strongly agree
47883414346,234,This topic is interesting to me,4.0,Somewhat agree
47883414346,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
47883414346,283,I am familiar with this topic,5.0,Strongly agree
47883414346,283,This topic is interesting to me,3.0,Neither agree nor disagree
47883414346,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47942251241,213,I am familiar with this topic,1.0,Strongly disagree
47942251241,213,This topic is interesting to me,1.0,Strongly disagree
47942251241,213,It should be easy to find relevant information for this topic,2.0,Somewhat disagree
47942251241,253,I am familiar with this topic,2.0,Somewhat disagree
47942251241,253,This topic is interesting to me,1.0,Strongly disagree
47942251241,253,It should be easy to find relevant information for this topic,1.0,Strongly disagree
47942251241,234,I am familiar with this topic,1.0,Strongly disagree
47942251241,234,This topic is interesting to me,3.0,Neither agree nor disagree
47942251241,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
47942251241,283,I am familiar with this topic,1.0,Strongly disagree
47942251241,283,This topic is interesting to me,1.0,Strongly disagree
47942251241,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48006221780,213,I am familiar with this topic,2.0,Somewhat disagree
48006221780,213,This topic is interesting to me,4.0,Somewhat agree
48006221780,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48006221780,253,I am familiar with this topic,5.0,Strongly agree
48006221780,253,This topic is interesting to me,4.0,Somewhat agree
48006221780,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
48006221780,234,I am familiar with this topic,2.0,Somewhat disagree
48006221780,234,This topic is interesting to me,4.0,Somewhat agree
48006221780,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
48006221780,283,I am familiar with this topic,5.0,Strongly agree
48006221780,283,This topic is interesting to me,3.0,Neither agree nor disagree
48006221780,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48743136872,213,I am familiar with this topic,1.0,Strongly disagree
48743136872,213,This topic is interesting to me,3.0,Neither agree nor disagree
48743136872,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48743136872,253,I am familiar with this topic,2.0,Somewhat disagree
48743136872,253,This topic is interesting to me,4.0,Somewhat agree
48743136872,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48743136872,234,I am familiar with this topic,2.0,Somewhat disagree
48743136872,234,This topic is interesting to me,2.0,Somewhat disagree
48743136872,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48743136872,283,I am familiar with this topic,1.0,Strongly disagree
48743136872,283,This topic is interesting to me,4.0,Somewhat agree
48743136872,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
48775020688,213,I am familiar with this topic,4.0,Somewhat agree
48775020688,213,This topic is interesting to me,4.0,Somewhat agree
48775020688,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
48775020688,253,I am familiar with this topic,2.0,Somewhat disagree
48775020688,253,This topic is interesting to me,2.0,Somewhat disagree
48775020688,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
48775020688,234,I am familiar with this topic,4.0,Somewhat agree
48775020688,234,This topic is interesting to me,4.0,Somewhat agree
48775020688,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
48775020688,283,I am familiar with this topic,1.0,Strongly disagree
48775020688,283,This topic is interesting to me,1.0,Strongly disagree
48775020688,283,It should be easy to find relevant information for this topic,2.0,Somewhat disagree
50754168720,213,I am familiar with this topic,5.0,Strongly agree
50754168720,213,This topic is interesting to me,4.0,Somewhat agree
50754168720,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
50754168720,253,I am familiar with this topic,5.0,Strongly agree
50754168720,253,This topic is interesting to me,5.0,Strongly agree
50754168720,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
50754168720,234,I am familiar with this topic,5.0,Strongly agree
50754168720,234,This topic is interesting to me,5.0,Strongly agree
50754168720,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
50754168720,283,I am familiar with this topic,2.0,Somewhat disagree
50754168720,283,This topic is interesting to me,2.0,Somewhat disagree
50754168720,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
51903715748,213,I am familiar with this topic,2.0,Somewhat disagree
51903715748,213,This topic is interesting to me,1.0,Strongly disagree
51903715748,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
51903715748,253,I am familiar with this topic,1.0,Strongly disagree
51903715748,253,This topic is interesting to me,1.0,Strongly disagree
51903715748,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
51903715748,234,I am familiar with this topic,4.0,Somewhat agree
51903715748,234,This topic is interesting to me,1.0,Strongly disagree
51903715748,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
51903715748,283,I am familiar with this topic,1.0,Strongly disagree
51903715748,283,This topic is interesting to me,1.0,Strongly disagree
51903715748,283,It should be easy to find relevant information for this topic,5.0,Strongly agree
52830093409,213,I am familiar with this topic,4.0,Somewhat agree
52830093409,213,This topic is interesting to me,4.0,Somewhat agree
52830093409,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
52830093409,253,I am familiar with this topic,4.0,Somewhat agree
52830093409,253,This topic is interesting to me,4.0,Somewhat agree
52830093409,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
52830093409,234,I am familiar with this topic,4.0,Somewhat agree
52830093409,234,This topic is interesting to me,4.0,Somewhat agree
52830093409,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
52830093409,283,I am familiar with this topic,4.0,Somewhat agree
52830093409,283,This topic is interesting to me,4.0,Somewhat agree
52830093409,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
53825209026,213,I am familiar with this topic,4.0,Somewhat agree
53825209026,213,This topic is interesting to me,4.0,Somewhat agree
53825209026,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
